# Lambda_15(1^10) feasible distributions with C <= 2050
# Format: C, a (ball-14), b (ball-15), d (ball-16)
# Total: 1242 combinations

2044,67,43,1934
2044,68,41,1935
2044,69,39,1936
2044,70,37,1937
2044,71,35,1938
2044,72,33,1939
2044,73,31,1940
2044,74,29,1941
2044,75,27,1942
2044,76,25,1943
2044,77,23,1944
2044,78,21,1945
2044,79,19,1946
2044,80,17,1947
2044,81,15,1948
2044,82,13,1949
2044,83,11,1950
2044,84,9,1951
2044,85,7,1952
2044,86,5,1953
2044,87,3,1954
2044,88,1,1955
2045,0,193,1852
2045,1,191,1853
2045,2,189,1854
2045,3,187,1855
2045,4,185,1856
2045,5,183,1857
2045,6,181,1858
2045,7,179,1859
2045,8,177,1860
2045,9,175,1861
2045,10,173,1862
2045,11,171,1863
2045,12,169,1864
2045,13,167,1865
2045,14,165,1866
2045,15,163,1867
2045,16,161,1868
2045,17,159,1869
2045,18,157,1870
2045,19,155,1871
2045,20,153,1872
2045,21,151,1873
2045,22,149,1874
2045,23,147,1875
2045,24,145,1876
2045,25,143,1877
2045,26,141,1878
2045,27,139,1879
2045,28,137,1880
2045,29,135,1881
2045,30,133,1882
2045,31,131,1883
2045,32,129,1884
2045,33,127,1885
2045,34,125,1886
2045,35,123,1887
2045,36,121,1888
2045,37,119,1889
2045,38,117,1890
2045,39,115,1891
2045,40,113,1892
2045,41,111,1893
2045,42,109,1894
2045,43,107,1895
2045,44,105,1896
2045,45,103,1897
2045,46,101,1898
2045,47,99,1899
2045,48,97,1900
2045,49,95,1901
2045,50,93,1902
2045,51,91,1903
2045,52,89,1904
2045,53,87,1905
2045,54,85,1906
2045,55,83,1907
2045,56,81,1908
2045,57,79,1909
2045,58,77,1910
2045,59,75,1911
2045,60,73,1912
2045,61,71,1913
2045,62,69,1914
2045,63,67,1915
2045,64,65,1916
2045,65,63,1917
2045,66,61,1918
2045,67,59,1919
2045,68,57,1920
2045,69,55,1921
2045,70,53,1922
2045,71,51,1923
2045,72,49,1924
2045,73,47,1925
2045,74,45,1926
2045,75,43,1927
2045,76,41,1928
2045,77,39,1929
2045,78,37,1930
2045,79,35,1931
2045,80,33,1932
2045,81,31,1933
2045,82,29,1934
2045,83,27,1935
2045,84,25,1936
2045,85,23,1937
2045,86,21,1938
2045,87,19,1939
2045,88,17,1940
2045,89,15,1941
2045,90,13,1942
2045,91,11,1943
2045,92,9,1944
2045,93,7,1945
2045,94,5,1946
2045,95,3,1947
2045,96,1,1948
2046,0,209,1837
2046,1,207,1838
2046,2,205,1839
2046,3,203,1840
2046,4,201,1841
2046,5,199,1842
2046,6,197,1843
2046,7,195,1844
2046,8,193,1845
2046,9,191,1846
2046,10,189,1847
2046,11,187,1848
2046,12,185,1849
2046,13,183,1850
2046,14,181,1851
2046,15,179,1852
2046,16,177,1853
2046,17,175,1854
2046,18,173,1855
2046,19,171,1856
2046,20,169,1857
2046,21,167,1858
2046,22,165,1859
2046,23,163,1860
2046,24,161,1861
2046,25,159,1862
2046,26,157,1863
2046,27,155,1864
2046,28,153,1865
2046,29,151,1866
2046,30,149,1867
2046,31,147,1868
2046,32,145,1869
2046,33,143,1870
2046,34,141,1871
2046,35,139,1872
2046,36,137,1873
2046,37,135,1874
2046,38,133,1875
2046,39,131,1876
2046,40,129,1877
2046,41,127,1878
2046,42,125,1879
2046,43,123,1880
2046,44,121,1881
2046,45,119,1882
2046,46,117,1883
2046,47,115,1884
2046,48,113,1885
2046,49,111,1886
2046,50,109,1887
2046,51,107,1888
2046,52,105,1889
2046,53,103,1890
2046,54,101,1891
2046,55,99,1892
2046,56,97,1893
2046,57,95,1894
2046,58,93,1895
2046,59,91,1896
2046,60,89,1897
2046,61,87,1898
2046,62,85,1899
2046,63,83,1900
2046,64,81,1901
2046,65,79,1902
2046,66,77,1903
2046,67,75,1904
2046,68,73,1905
2046,69,71,1906
2046,70,69,1907
2046,71,67,1908
2046,72,65,1909
2046,73,63,1910
2046,74,61,1911
2046,75,59,1912
2046,76,57,1913
2046,77,55,1914
2046,78,53,1915
2046,79,51,1916
2046,80,49,1917
2046,81,47,1918
2046,82,45,1919
2046,83,43,1920
2046,84,41,1921
2046,85,39,1922
2046,86,37,1923
2046,87,35,1924
2046,88,33,1925
2046,89,31,1926
2046,90,29,1927
2046,91,27,1928
2046,92,25,1929
2046,93,23,1930
2046,94,21,1931
2046,95,19,1932
2046,96,17,1933
2046,97,15,1934
2046,98,13,1935
2046,99,11,1936
2046,100,9,1937
2046,101,7,1938
2046,102,5,1939
2046,103,3,1940
2046,104,1,1941
2047,0,225,1822
2047,1,223,1823
2047,2,221,1824
2047,3,219,1825
2047,4,217,1826
2047,5,215,1827
2047,6,213,1828
2047,7,211,1829
2047,8,209,1830
2047,9,207,1831
2047,10,205,1832
2047,11,203,1833
2047,12,201,1834
2047,13,199,1835
2047,14,197,1836
2047,15,195,1837
2047,16,193,1838
2047,17,191,1839
2047,18,189,1840
2047,19,187,1841
2047,20,185,1842
2047,21,183,1843
2047,22,181,1844
2047,23,179,1845
2047,24,177,1846
2047,25,175,1847
2047,26,173,1848
2047,27,171,1849
2047,28,169,1850
2047,29,167,1851
2047,30,165,1852
2047,31,163,1853
2047,32,161,1854
2047,33,159,1855
2047,34,157,1856
2047,35,155,1857
2047,36,153,1858
2047,37,151,1859
2047,38,149,1860
2047,39,147,1861
2047,40,145,1862
2047,41,143,1863
2047,42,141,1864
2047,43,139,1865
2047,44,137,1866
2047,45,135,1867
2047,46,133,1868
2047,47,131,1869
2047,48,129,1870
2047,49,127,1871
2047,50,125,1872
2047,51,123,1873
2047,52,121,1874
2047,53,119,1875
2047,54,117,1876
2047,55,115,1877
2047,56,113,1878
2047,57,111,1879
2047,58,109,1880
2047,59,107,1881
2047,60,105,1882
2047,61,103,1883
2047,62,101,1884
2047,63,99,1885
2047,64,97,1886
2047,65,95,1887
2047,66,93,1888
2047,67,91,1889
2047,68,89,1890
2047,69,87,1891
2047,70,85,1892
2047,71,83,1893
2047,72,81,1894
2047,73,79,1895
2047,74,77,1896
2047,75,75,1897
2047,76,73,1898
2047,77,71,1899
2047,78,69,1900
2047,79,67,1901
2047,80,65,1902
2047,81,63,1903
2047,82,61,1904
2047,83,59,1905
2047,84,57,1906
2047,85,55,1907
2047,86,53,1908
2047,87,51,1909
2047,88,49,1910
2047,89,47,1911
2047,90,45,1912
2047,91,43,1913
2047,92,41,1914
2047,93,39,1915
2047,94,37,1916
2047,95,35,1917
2047,96,33,1918
2047,97,31,1919
2047,98,29,1920
2047,99,27,1921
2047,100,25,1922
2047,101,23,1923
2047,102,21,1924
2047,103,19,1925
2047,104,17,1926
2047,105,15,1927
2047,106,13,1928
2047,107,11,1929
2047,108,9,1930
2047,109,7,1931
2047,110,5,1932
2047,111,3,1933
2047,112,1,1934
2048,0,241,1807
2048,1,239,1808
2048,2,237,1809
2048,3,235,1810
2048,4,233,1811
2048,5,231,1812
2048,6,229,1813
2048,7,227,1814
2048,8,225,1815
2048,9,223,1816
2048,10,221,1817
2048,11,219,1818
2048,12,217,1819
2048,13,215,1820
2048,14,213,1821
2048,15,211,1822
2048,16,209,1823
2048,17,207,1824
2048,18,205,1825
2048,19,203,1826
2048,20,201,1827
2048,21,199,1828
2048,22,197,1829
2048,23,195,1830
2048,24,193,1831
2048,25,191,1832
2048,26,189,1833
2048,27,187,1834
2048,28,185,1835
2048,29,183,1836
2048,30,181,1837
2048,31,179,1838
2048,32,177,1839
2048,33,175,1840
2048,34,173,1841
2048,35,171,1842
2048,36,169,1843
2048,37,167,1844
2048,38,165,1845
2048,39,163,1846
2048,40,161,1847
2048,41,159,1848
2048,42,157,1849
2048,43,155,1850
2048,44,153,1851
2048,45,151,1852
2048,46,149,1853
2048,47,147,1854
2048,48,145,1855
2048,49,143,1856
2048,50,141,1857
2048,51,139,1858
2048,52,137,1859
2048,53,135,1860
2048,54,133,1861
2048,55,131,1862
2048,56,129,1863
2048,57,127,1864
2048,58,125,1865
2048,59,123,1866
2048,60,121,1867
2048,61,119,1868
2048,62,117,1869
2048,63,115,1870
2048,64,113,1871
2048,65,111,1872
2048,66,109,1873
2048,67,107,1874
2048,68,105,1875
2048,69,103,1876
2048,70,101,1877
2048,71,99,1878
2048,72,97,1879
2048,73,95,1880
2048,74,93,1881
2048,75,91,1882
2048,76,89,1883
2048,77,87,1884
2048,78,85,1885
2048,79,83,1886
2048,80,81,1887
2048,81,79,1888
2048,82,77,1889
2048,83,75,1890
2048,84,73,1891
2048,85,71,1892
2048,86,69,1893
2048,87,67,1894
2048,88,65,1895
2048,89,63,1896
2048,90,61,1897
2048,91,59,1898
2048,92,57,1899
2048,93,55,1900
2048,94,53,1901
2048,95,51,1902
2048,96,49,1903
2048,97,47,1904
2048,98,45,1905
2048,99,43,1906
2048,100,41,1907
2048,101,39,1908
2048,102,37,1909
2048,103,35,1910
2048,104,33,1911
2048,105,31,1912
2048,106,29,1913
2048,107,27,1914
2048,108,25,1915
2048,109,23,1916
2048,110,21,1917
2048,111,19,1918
2048,112,17,1919
2048,113,15,1920
2048,114,13,1921
2048,115,11,1922
2048,116,9,1923
2048,117,7,1924
2048,118,5,1925
2048,119,3,1926
2048,120,1,1927
2049,0,257,1792
2049,1,255,1793
2049,2,253,1794
2049,3,251,1795
2049,4,249,1796
2049,5,247,1797
2049,6,245,1798
2049,7,243,1799
2049,8,241,1800
2049,9,239,1801
2049,10,237,1802
2049,11,235,1803
2049,12,233,1804
2049,13,231,1805
2049,14,229,1806
2049,15,227,1807
2049,16,225,1808
2049,17,223,1809
2049,18,221,1810
2049,19,219,1811
2049,20,217,1812
2049,21,215,1813
2049,22,213,1814
2049,23,211,1815
2049,24,209,1816
2049,25,207,1817
2049,26,205,1818
2049,27,203,1819
2049,28,201,1820
2049,29,199,1821
2049,30,197,1822
2049,31,195,1823
2049,32,193,1824
2049,33,191,1825
2049,34,189,1826
2049,35,187,1827
2049,36,185,1828
2049,37,183,1829
2049,38,181,1830
2049,39,179,1831
2049,40,177,1832
2049,41,175,1833
2049,42,173,1834
2049,43,171,1835
2049,44,169,1836
2049,45,167,1837
2049,46,165,1838
2049,47,163,1839
2049,48,161,1840
2049,49,159,1841
2049,50,157,1842
2049,51,155,1843
2049,52,153,1844
2049,53,151,1845
2049,54,149,1846
2049,55,147,1847
2049,56,145,1848
2049,57,143,1849
2049,58,141,1850
2049,59,139,1851
2049,60,137,1852
2049,61,135,1853
2049,62,133,1854
2049,63,131,1855
2049,64,129,1856
2049,65,127,1857
2049,66,125,1858
2049,67,123,1859
2049,68,121,1860
2049,69,119,1861
2049,70,117,1862
2049,71,115,1863
2049,72,113,1864
2049,73,111,1865
2049,74,109,1866
2049,75,107,1867
2049,76,105,1868
2049,77,103,1869
2049,78,101,1870
2049,79,99,1871
2049,80,97,1872
